"INSPEÇÕES TOPOGRÁFICAS -  MONTAGEM DE PRÉ-MOLDADOS
PO.QUA 010 - Verificação de Materiais e Serviços",,,,,,,,,,,,,,,,,,
Código da Peça,x,y,z,Projeto (m),,"1ª Etapa- Real (m)
(Antes do grauteamento do cálice)",,DATA,EXCENTRICIDADE,," 2ª Etapa- Real (m)
(Após o grauteamento do cálice)",,DATA,EXCENTRICIDADE,,"3ª Etapa- Real (m)
(Após instalação das vigas)",,DATA
,,,,N (y),E (x),N (y),E (x),,N (y),E (x),N (y),E (x),,N (y),E (x),N (y),E (x),
,,,,,,,,,,,,,,,,,,
PP33,40,40,,"9084777,538","280068,891","9084777,538","280068,891",9/17/2020,,,"9084777,537","280068,893",9/17/2020,,,"9084777,537","280068,89",10/1/2020
PP33 - 2,40,40,,"9084777,538","280068,891","9084777,535","280068,889",1/21/2021,,,"9084777,535","280068,889",1/27/2021,,,"9084777,534","280068,893",2/1/2021
PP34,40,40,,,,,,,,,,,,,,,,
PP35,40,40,"10,4","9084699,538","280080,891","9084699,538","280080,891",10/1/2020,ok,ok,"9084699,538","280080,888",10/1/2020,,,"9084699,533","280080,885",10/2/2020
PP36,40,40,"10,7","9084708,5380","280080,8910","9084708,5380","280080,8910",8/11/2020,ok,ok,"9084708,5360","280080,8920",8/12/2020,,,"9084708,5300","280080,8940",8/21/2020
PP37,40,40,"10,7","9084717,538","280080,891","9084717,538","280080,891",8/3/2020,ok,ok,"9084717,537","280080,891",8/4/2020,,,"9084717,538","280080,891",8/21/2020
PP38,40,40,"10,7","9084726,538","280080,891","9084726,539","280080,89",8/3/2020,ok,ok,"9084726,537","280080,895",8/4/2020,,,"9084726,537","280080,888",8/21/2020
PP39,40,40,,"9084735,538","280080,891","9084735,538","280080,891",8/27/2020,,,"9084735,539","280080,891",8/28/2020,,,"9084735,541","280080,887",9/11/2020
PP40,40,40,,"9084741,538","280080,891","9084741,538","280080,891",8/31/2020,,,"9084741,538","280080,889",9/1/2020,,,"9084741,537","280080,89",9/11/2020
PP41,40,40,,"9084750,538","280080,891","9084750,537","280080,891",9/8/2020,,,"9084750,537","280080,891",9/9/2020,,,"9084750,537","280080,891",9/11/2020
PP42,40,40,,"9084759,538","280080,891","9084759,539","280080,89",8/27/2020,,,"9084759,537","280080,891",9/1/2020,,,"9084759,536","280080,89",9/29/2020
PP43,40,40,,"9084768,538","280080,891","9084768,538","280080,891",8/27/2020,,,"9084768,537","280080,89",9/1/2020,,,"9084768,538","280080,895",9/29/2020
PP44,40,40,,"9084777,538","280080,8913","9084777,538","280080,89",9/16/2020,,,"9084777,539","280080,889",9/21/2020,,,"9084777,537","280080,887",10/1/2020
PP44 - 2,40,40,,"9084777,538","280080,8913","9084777,538","280080,8913",1/21/2021,,,"9084777,537","280080,89",2/1/2021,,,,,
PP45,40,40,,"9084690,5385","280086,891",,,,,,"9084690,5390","280086,891",4/8/2020,,,,,
PP46,40,40,,"9084695,0385","280086,891","9084699,5380","280086,89",10/1/2020,,,"9084695,5390","280086,892",10/1/2020,,,"90846959,5350","280080,888",10/2/2020
PP47,40,40,,"9084708,5380","280086,891","9084708,5370","280086,892",8/7/2020,,,"9084708,537","280086,887",8/13/2020,,,"9084708,538","280086,893",8/21/2020
PP48,40,40,,"9084717,539","280086,8913","9084717,539","280086,89",8/3/2020,,,"9084717,54","280086,891",8/4/2020,,,"9084717,539","280086,891",8/21/2020
PP49,40,40,,"9084726,539","280086,8913","9084726,538","280086,89",8/3/2020,,,"9084726,538","280086,89",8/4/2020,,,"9084726,537","280086,888",8/21/2020
PP50,40,40,,"9084735,538","280086,891","9084735,538","280086,891",8/21/2020,,,"9084735,538","280086,89",8/24/2020,,,"9084735,537","280086,887",8/31/2020
PP51,40,40,,"9084741,538","280086,891","9084741,539","280086,89",8/27/2020,,,"9084741,538","280086,891",8/31/2020,,,"9084741,538","280086,891",8/31/2020
PP52,40,40,,"9084750,5380","280086,891","9084750,5380","280086,89",8/21/2020,,,"9084750,5370","280086,89",8/24/2020,,,"9084750,5380","280086,891",8/31/2020
PP53,40,40,,"9084759,5380","280086,891","9084759,5370","280086,891",9/2/2020,,,"9084759,5380","280086,89",9/3/2020,,,"9084759,5400","280086,892",9/9/2020
